            "symptom_text","severity","additional_symptoms","specialization"
"tension headache for three days","medium","neck pain shoulder tightness","Neurology"
"throbbing headache behind the eyes recently","medium","nausea sensitivity to light","Neurology"
"sad mood and crying spells for ten days","medium","fatigue","Psychiatry"
"post nasal drip and cough recently","medium","throat irritation","ENT"
"frozen shoulder restricted movement for two days","medium","stiffness pain","Orthopedics"
"migraine attacks for two weeks","medium","nausea sensitivity to sound","Neurology"
"moderate eczema flare up with itching for a week","medium","dry skin redness","Dermatology"
"chronic migraine for two weeks","medium","light sensitivity nausea","Neurology"
"persistent rash on arms and legs for a month","medium","itching","Dermatology"
"child with severe dehydration off and on for months","high","no urine lethargy","Pediatrics"
"blocked ear sensation since this morning","medium","muffled hearing","ENT"
"swollen ankles and breathlessness for three days","medium","fatigue weight gain","Cardiology"
"ptsd flashbacks and nightmares for two days","medium","anxiety hypervigilance","Psychiatry"
"blood in stool for three days","high","abdominal pain weakness","Gastroenterology"
"slight muscle soreness after exercise","low","none","Orthopedics"
"ear infection and pus discharge since yesterday","medium","fever pain","ENT"
"tennis elbow pain since this morning","medium","weakness in grip","Orthopedics"
"slight stiff neck after sleeping wrong","low","none","Orthopedics"
"occasional eye strain since this morning","low","none","Ophthalmology"
"obsessive thoughts and compulsions for two weeks","medium","anxiety","Psychiatry"
"obsessive thoughts and compulsions for several days","medium","anxiety","Psychiatry"
"slight sore throat for a month","low","none","General Physician"
"glaucoma high eye pressure","medium","blurred vision","Ophthalmology"
"food poisoning vomiting and diarrhea on and off for weeks","medium","fever dehydration","Gastroenterology"
"warts on hands for a few hours","medium","none","Dermatology"
"vomiting blood repeatedly on and off for weeks","high","weakness dizziness","Gastroenterology"
"generalized anxiety constant worry for three days","medium","muscle tension","Psychiatry"
"psoriasis patches on elbows since this morning","medium","itching flaking","Dermatology"
"severe eye pain and blurred vision for about a week","high","light sensitivity","Ophthalmology"
"child seizure and fever","high","unresponsive","Pediatrics"
"general health checkup","low","none","General Physician"
"fever and sore throat for a week","medium","cough runny nose","General Physician"
"slight headache and fatigue","low","none","General Physician"
"difficulty concentrating at work on and off for weeks","medium","low mood","Psychiatry"
"acne breakouts on face since this morning","medium","oily skin","Dermatology"
"bipolar manic episode off and on for months","medium","racing thoughts","Psychiatry"
"severe back pain cannot move for two days","high","muscle spasm stiffness","Orthopedics"
"throat infection with cough for a few hours","medium","fever","General Physician"
"dry itchy eyes recently","medium","redness","Ophthalmology"
"child rash with fever for two weeks","medium","itching","Pediatrics"
"general body ache for several days","medium","fatigue fever","General Physician"
"yellow eyes jaundice for a month","medium","dark urine fatigue","Gastroenterology"
"pounding heart and chest tightness for a day","medium","sweating dizziness","Cardiology"
"trouble falling asleep and staying asleep for a month","medium","daytime fatigue","Psychiatry"
"occasional fluttering in chest occasionally","low","none","Cardiology"
"severe hip pain cannot walk for about a week","high","stiffness weakness","Orthopedics"
"mild sore throat for three days","low","none","General Physician"
"work stress and burnout for two days","medium","fatigue insomnia","Psychiatry"
"moderate chest pain and pressure for about a week","medium","sweating lightheadedness","Cardiology"
"ongoing rash on arms and legs for three days","medium","itching","Dermatology"
"feeling hopeless and worthless for two days","medium","loss of interest","Psychiatry"
"a little loose motion since this morning","low","none","Gastroenterology"
"sudden numbness one side of body","high","confusion difficulty speaking","Neurology"
"constant eczema flare up with itching off and on for months","medium","dry skin redness","Dermatology"
"trouble falling asleep and staying asleep for two days","medium","daytime fatigue","Psychiatry"
"not feeling well in general for about a week","medium","tired low energy","General Physician"
"slight nervous feeling before exams","low","none","Psychiatry"
"infant constipation and crying off and on for months","medium","gas","Pediatrics"
"minor eye strain on and off for weeks","low","none","Ophthalmology"
"vomiting after meals since this morning","medium","weakness","Gastroenterology"
"cannot sleep insomnia for two weeks","medium","anxiety fatigue","Psychiatry"
"stomach cramps and loose stools for three days","medium","dehydration","Gastroenterology"
"psoriasis patches on elbows for two days","medium","itching flaking","Dermatology"
"slight dryness in eyes","low","none","Ophthalmology"
"skin allergy with swelling off and on for months","medium","redness itching","Dermatology"
"sore throat and difficulty swallowing recently","medium","fever swollen glands","ENT"
"a little hoarse voice","low","none","ENT"
"sudden face swelling with hives","high","itching breathing trouble","Dermatology"
"scratchy feeling in eye for a month","medium","watering","Ophthalmology"
"irritability and anger outbursts since this morning","medium","stress","Psychiatry"
"floaters and black spots for several days","medium","flashing lights","Ophthalmology"
"baby wont stop crying and has fever for three days","medium","pulling ears","Pediatrics"
"baby vaccination schedule review","medium","none","Pediatrics"
"a little dizziness when standing up","low","none","Neurology"
"eating disorder binge eating for two weeks","medium","guilt anxiety","Psychiatry"
"low grade headache for about a week","low","slight fatigue","Neurology"
"scratchy feeling in eye for a week","medium","watering","Ophthalmology"
"bipolar manic episode for ten days","medium","racing thoughts","Psychiatry"
"swollen eyelid with pain since this morning","medium","redness","Ophthalmology"
"occasional ankle ache after long walk","low","none","Orthopedics"
"rosacea redness on cheeks for a day","medium","flushing","Dermatology"
"baby teething and drooling","low","mild fussiness","Pediatrics"
"viral infection fever and chills for a month","medium","body ache","General Physician"
"light sensitivity and pain recently","medium","watering","Ophthalmology"
"child mild cold for two days","low","none","Pediatrics"
"moderate knee pain when climbing stairs on and off for weeks","medium","swelling stiffness","Orthopedics"
"heartburn and chest burning after eating for a week","medium","regurgitation","Gastroenterology"
"constant back ache after lifting heavy things","medium","muscle soreness","Orthopedics"
"persistent lower back pain since this morning","medium","stiffness","Orthopedics"
"dizziness and room spinning vertigo for a few hours","medium","nausea balance issues","Neurology"
"gastritis stomach inflammation for two weeks","medium","nausea vomiting","Gastroenterology"
"depression low mood and no energy for three days","medium","insomnia poor appetite","Psychiatry"
"slight bloating after eating","low","none","Gastroenterology"
"red painful eye with discharge for a month","medium","tearing light sensitivity","Ophthalmology"
"persistent eye pain for ten days","medium","redness tearing","Ophthalmology"
"throat infection with cough for a day","medium","fever","General Physician"
"thunderclap headache for a week","high","neck stiffness confusion","Neurology"
"chronic migraine for a few hours","medium","light sensitivity nausea","Neurology"
"gallbladder pain after fatty meal since yesterday","medium","nausea bloating","Gastroenterology"
"elbow pain with tenderness off and on for months","medium","weakness when lifting","Orthopedics"
"general body ache for about a week","medium","fatigue fever","General Physician"
"eye redness and irritation off and on for months","medium","watering","Ophthalmology"
"child routine checkup","low","none","Pediatrics"
"a little chest discomfort after eating for a day","low","bloating","Cardiology"
"general malaise for two weeks","medium","low energy","General Physician"
"high fever 104 with chills and weakness","high","body ache confusion","General Physician"
"persistent chest pain and pressure for about a week","medium","sweating lightheadedness","Cardiology"
"persistent anxiety and worry for a few hours","medium","restlessness insomnia","Psychiatry"
"fever and sore throat on and off for weeks","medium","cough runny nose","General Physician"
"bothering stomach pain recently","medium","nausea","Gastroenterology"
"elbow pain with tenderness on and off for weeks","medium","weakness when lifting","Orthopedics"
"numbness and tingling in hands off and on for months","medium","weakness","Neurology"
"a little constipation on and off for weeks","low","none","Gastroenterology"
"double vision recently","medium","dizziness","Ophthalmology"
"work stress and burnout for a few hours","medium","fatigue insomnia","Psychiatry"
"snoring and sleep apnea on and off for weeks","medium","daytime sleepiness","ENT"
"sudden vision loss one eye","high","eye pain headache","Ophthalmology"
"red painful eye with discharge on and off for weeks","medium","tearing light sensitivity","Ophthalmology"
"panic attacks and racing heart off and on for months","medium","sweating sense of doom","Psychiatry"
"headache and fever for two days","medium","body ache","General Physician"
"angina chest pain on walking for two days","high","breathlessness","Cardiology"
"severe abdominal pain cannot move for about a week","high","vomiting fever","Gastroenterology"
"minor stiff neck after sleeping wrong","low","none","Orthopedics"
"voice hoarseness for about a week","medium","sore throat","ENT"
"eye strain from screens for a week","medium","headache dryness","Ophthalmology"
"cataracts cloudy vision for a few hours","medium","glare sensitivity","Ophthalmology"
"mild palpitations after caffeine for several days","low","none","Cardiology"
"stomach cramps and loose stools since yesterday","medium","dehydration","Gastroenterology"
"ear infection and pus discharge for two days","medium","fever pain","ENT"
"severe dizziness with fainting for several days","high","nausea blurred vision","Neurology"
"severe chest pressure and tightness for two days","high","sweating cold clammy skin","Cardiology"
"minor sore throat for about a week","low","none","General Physician"
"crushing chest pain for several days","high","nausea vomiting sweating","Cardiology"
"addiction craving alcohol since this morning","medium","withdrawal anxiety","Psychiatry"
"eating disorder binge eating for about a week","medium","guilt anxiety","Psychiatry"
"chicken pox rash in child since this morning","medium","fever itching","Pediatrics"
"bothering ear pain and fullness for two weeks","medium","mild hearing loss","ENT"
"joint pain in multiple joints for a week","medium","stiffness swelling","Orthopedics"
"ongoing eczema flare up with itching since this morning","medium","dry skin redness","Dermatology"
"mild headache for a month","low","none","Neurology"
"baby high fever over 103 for a few hours","high","not drinking lethargic","Pediatrics"
"occasional feeling tired for a day","low","none","General Physician"
"knee swelling after running for several days","medium","pain stiffness","Orthopedics"
"bloody stools and abdominal pain for a day","medium","weakness","Gastroenterology"
"sudden crushing chest pain radiating to left arm","high","sweating nausea shortness of breath","Cardiology"
"sinus infection blocked nose and headache since yesterday","medium","facial pain fatigue","ENT"
"nose bleed recurrent since yesterday","medium","none","ENT"
"hip pain walking long distances for several days","medium","stiffness","Orthopedics"
"baby feeding problems since this morning","medium","fussy gassy","Pediatrics"
"voice hoarseness on and off for weeks","medium","sore throat","ENT"
"low grade fever for two weeks","medium","headache fatigue","General Physician"
"ongoing vertigo and imbalance for two weeks","medium","nausea","Neurology"
"tension headache for a month","medium","neck pain shoulder tightness","Neurology"
"irritable bowel alternating diarrhea constipation off and on for months","medium","bloating","Gastroenterology"
"child mild cold for a week","low","none","Pediatrics"
"minor fluttering in chest occasionally","low","none","Cardiology"
"swollen lymph nodes neck for a month","medium","sore throat fever","ENT"
"severe hip pain cannot walk for two weeks","high","stiffness weakness","Orthopedics"
"unexplained weight loss for ten days","medium","fatigue","General Physician"
"difficulty concentrating at work for a few hours","medium","low mood","Psychiatry"
"dizziness and room spinning vertigo for three days","medium","nausea balance issues","Neurology"
"minor feeling down lately","low","none","Psychiatry"
"minor cold for about a week","low","none","General Physician"
"occasional palpitations after caffeine for two weeks","low","none","Cardiology"
"low grade fever for several days","medium","headache fatigue","General Physician"
"minor occasional headache for ten days","low","none","Neurology"
"occasional dandruff occasional","low","none","Dermatology"
"irregular heartbeat for a month","medium","fatigue shortness of breath","Cardiology"
"minor cough recently","low","none","General Physician"
"gastritis stomach inflammation on and off for weeks","medium","nausea vomiting","Gastroenterology"
"ringworm circular rash on and off for weeks","medium","itching","Dermatology"
"double vision for a few hours","medium","dizziness","Ophthalmology"
"blood in stool recently","high","abdominal pain weakness","Gastroenterology"
"skin redness and peeling for a month","medium","itching","Dermatology"
"infant not breathing well for two weeks","high","blue lips lethargy","Pediatrics"
"persistent vertigo and imbalance since yesterday","medium","nausea","Neurology"
"changing mole on back for three days","medium","irregular borders","Dermatology"
"chest pain severe and unbearable recently","high","sweating vomiting","Cardiology"
"slight occasional headache since yesterday","low","none","Neurology"
"child behavioral problems at school","medium","anxiety","Pediatrics"
"severe rash spreading all over body for two days","high","fever itching","Dermatology"
"chronic sinusitis for a week","medium","nasal discharge headache","ENT"
"ptsd flashbacks and nightmares for a week","medium","anxiety hypervigilance","Psychiatry"
"sudden hearing loss in one ear for about a week","high","ringing dizziness","ENT"
"bothering back ache after lifting heavy things","medium","muscle soreness","Orthopedics"
"annual checkup and general health review","medium","none","General Physician"
"social anxiety fear of people for a month","medium","avoidance","Psychiatry"
"severe eye pain and blurred vision for a few hours","high","light sensitivity","Ophthalmology"
"hearing voices and hallucinations for three days","high","paranoia","Psychiatry"
"brief chest twinge for a day","low","none","Cardiology"
"child vomiting after eating for three days","medium","stomach pain","Pediatrics"
"gastritis stomach inflammation for a month","medium","nausea vomiting","Gastroenterology"
"dehydration and weakness for several days","medium","dizziness","General Physician"
"dandruff and scalp itching for a day","medium","flakes","Dermatology"
"painful skin infection with pus on and off for weeks","high","fever swelling","Dermatology"
"sudden hearing loss in one ear for two weeks","high","ringing dizziness","ENT"
"chest tightness and left arm numbness","high","sweating nausea","Cardiology"
"diarrhea for ten days","medium","dehydration abdominal cramps","Gastroenterology"
"tonsillitis with white spots on throat for two weeks","medium","fever swallowing pain","ENT"
"a little palpitations after caffeine for about a week","low","none","Cardiology"
"arthritis pain and stiffness for a few hours","medium","joint swelling","Orthopedics"
"floaters and black spots for two days","medium","flashing lights","Ophthalmology"
"minor redness in eyes after screens","low","none","Ophthalmology"
"irregular heartbeat for about a week","medium","fatigue shortness of breath","Cardiology"
"moderate vertigo and imbalance off and on for months","medium","nausea","Neurology"
"sudden sharp stomach pain for ten days","high","vomiting sweating","Gastroenterology"
"occasional sneezing and stuffy nose","low","none","General Physician"
"ringworm circular rash recently","medium","itching","Dermatology"
"child behavioral problems at school","medium","anxiety","Pediatrics"
"a little stiff neck after sleeping wrong","low","none","Orthopedics"
"tingling in feet and legs off and on for months","medium","numbness","Neurology"
"minor blocked nose for a week","low","none","ENT"
"sprained ankle swelling for about a week","medium","limping","Orthopedics"
"a little cough for two days","low","none","General Physician"
"child routine checkup","low","none","Pediatrics"
"minor sore throat on and off for weeks","low","none","ENT"
"child asthma wheezing for a few hours","medium","cough breathing difficulty","Pediatrics"
"severe panic attack racing heart and fear of dying","high","sweating shaking","Psychiatry"
"a little fluttering in chest occasionally","low","none","Cardiology"
"hair loss in patches for a day","medium","itching scaly scalp","Dermatology"
"child mild cold for two weeks","low","none","Pediatrics"
"crushing chest pain for a week","high","nausea vomiting sweating","Cardiology"
"severe throat pain cannot swallow for a month","high","fever swelling","ENT"
"constipation and bloating recently","medium","abdominal discomfort","Gastroenterology"
"general malaise for three days","medium","low energy","General Physician"
"fungal infection between toes for two days","medium","itching peeling","Dermatology"
"minor indigestion after heavy meal","low","none","Gastroenterology"
"numbness and tingling in hands for a day","medium","weakness","Neurology"
"mild blurred vision when tired","low","none","Ophthalmology"
"slight trouble relaxing","low","none","Psychiatry"
"mild blocked nose for two weeks","low","none","ENT"
"slight chest discomfort after eating for a few hours","low","bloating","Cardiology"
"sinus infection blocked nose and headache since this morning","medium","facial pain fatigue","ENT"
"mild feeling down lately","low","none","Psychiatry"
"addiction craving alcohol for a day","medium","withdrawal anxiety","Psychiatry"
"chronic migraine for a week","medium","light sensitivity nausea","Neurology"
"stroke symptoms face drooping","high","slurred speech arm weakness","Neurology"
"difficulty reading close up on and off for weeks","medium","eye fatigue","Ophthalmology"
"minor blurred vision when tired","low","none","Ophthalmology"
"bloating and gas after meals recently","medium","burping","Gastroenterology"
"twisted ankle swelling after football","medium","bruising","Orthopedics"
"hair loss in patches on and off for weeks","medium","itching scaly scalp","Dermatology"
"conjunctivitis pink eye on and off for weeks","medium","discharge itching","Ophthalmology"
"occasional loose motion for several days","low","none","Gastroenterology"
"liver pain right upper abdomen for a few hours","medium","nausea fatigue","Gastroenterology"
"child with fever and cough for ten days","medium","runny nose body ache","Pediatrics"
"broken ankle after sports injury","high","swelling inability to walk","Orthopedics"
"mild cold for three days","low","none","General Physician"
"stomach cramps and loose stools for a month","medium","dehydration","Gastroenterology"
"brief chest twinge for a month","low","none","Cardiology"
"occasional feeling down lately","low","none","Psychiatry"
"dry itchy patches of skin for a week","medium","flaking","Dermatology"
"loss of interest in hobbies for about a week","medium","low mood","Psychiatry"
"tennis elbow pain for about a week","medium","weakness in grip","Orthopedics"
"low grade headache for several days","low","slight fatigue","Neurology"
"chest tightness and left arm numbness","high","sweating nausea","Cardiology"
"floaters and black spots for a few hours","medium","flashing lights","Ophthalmology"
"feeling unwell for several days","medium","mild fever fatigue","General Physician"
"cardiac arrhythmia fluttering chest off and on for months","medium","lightheadedness","Cardiology"
"a little dry skin for a week","low","none","Dermatology"
"mild tightness in chest after exercise","low","none","Cardiology"
"depression low mood and no energy off and on for months","medium","insomnia poor appetite","Psychiatry"
"allergic reaction with sneezing for three days","medium","runny nose","General Physician"
"nightmares and disturbed sleep for a month","medium","anxiety","Psychiatry"
"persistent cough for a week","medium","mild fever fatigue","General Physician"
"eating disorder binge eating for two days","medium","guilt anxiety","Psychiatry"
"a little dryness in eyes","low","none","Ophthalmology"
"constant headache for a month","medium","nausea sensitivity to light","Neurology"
"severe throat pain cannot swallow for two weeks","high","fever swelling","ENT"
"constant vertigo and imbalance on and off for weeks","medium","nausea","Neurology"
"bothering knee pain when climbing stairs for two weeks","medium","swelling stiffness","Orthopedics"
"fainted once while standing","medium","dehydration fatigue","General Physician"
"occasional dryness in eyes","low","none","Ophthalmology"
"rare mild migraine for about a week","low","slight nausea","Neurology"
"blood in stool for a month","high","abdominal pain weakness","Gastroenterology"
"unexplained weight loss for two days","medium","fatigue","General Physician"
"slight acne for a week","low","none","Dermatology"
"constant chest pain and pressure for ten days","medium","sweating lightheadedness","Cardiology"
"throat infection with cough for ten days","medium","fever","General Physician"
"flu like symptoms for ten days","medium","body ache fatigue","General Physician"
"acid reflux and heartburn after meals on and off for weeks","medium","burping","Gastroenterology"
"i feel bad since this morning","low","none","General Physician"
"a little occasional headache recently","low","none","Neurology"
"mild dryness in eyes","low","none","Ophthalmology"
"constant eye pain for a few hours","medium","redness tearing","Ophthalmology"
"heart attack symptoms crushing chest pain for three days","high","sweating weakness nausea","Cardiology"
"sudden hearing loss in one ear for a month","high","ringing dizziness","ENT"
"general body ache since yesterday","medium","fatigue fever","General Physician"
"slight numbness in fingertip for ten days","low","none","Neurology"
"mild sore throat for two days","low","none","ENT"
"panic attacks and racing heart for several days","medium","sweating sense of doom","Psychiatry"
"changing mole on back since this morning","medium","irregular borders","Dermatology"
"gallbladder pain after fatty meal for several days","medium","nausea bloating","Gastroenterology"
"kid with sore throat and fever for a week","medium","cough","Pediatrics"
"child growth and developmental checkup","medium","none","Pediatrics"
"grief after losing family member since yesterday","medium","sadness insomnia","Psychiatry"
"generalized anxiety constant worry on and off for weeks","medium","muscle tension","Psychiatry"
"toddler diarrhea and vomiting for about a week","medium","dehydration","Pediatrics"
"occasional numbness in fingertip since this morning","low","none","Neurology"
"occasional back ache after long sitting","low","none","Orthopedics"
"frequent headaches since yesterday","medium","nausea fatigue","Neurology"
"blocked ear sensation for several days","medium","muffled hearing","ENT"
"slight feeling down lately","low","none","Psychiatry"
"a little sunburn recently","low","slight peeling","Dermatology"
"irritability and anger outbursts for two weeks","medium","stress","Psychiatry"
"hives and welts for about a week","medium","itching","Dermatology"
"constant lower back pain for three days","medium","stiffness","Orthopedics"
"bipolar manic episode recently","medium","racing thoughts","Psychiatry"
"infant not breathing well since yesterday","high","blue lips lethargy","Pediatrics"
"numbness in face and arm for two days","high","slurred speech weakness","Neurology"
"occasional sore throat off and on for months","low","none","ENT"
"persistent cough for ten days","medium","mild fever fatigue","General Physician"
"work stress and burnout on and off for weeks","medium","fatigue insomnia","Psychiatry"
"mild knee twinge after stairs","low","none","Orthopedics"
"occasional headache and fatigue","low","none","General Physician"
"severe chest pressure and tightness for a day","high","sweating cold clammy skin","Cardiology"
"red painful eye with discharge for about a week","medium","tearing light sensitivity","Ophthalmology"
"mild stress from work recently","low","none","Psychiatry"
"mild back ache after long sitting","low","none","Orthopedics"
"persistent headache for weeks","medium","dizziness fatigue","Neurology"
"mild sunburn for about a week","low","slight peeling","Dermatology"
"sad mood and crying spells for several days","medium","fatigue","Psychiatry"
"child ear infection and crying for ten days","medium","fever irritability","Pediatrics"
"a little itchy eyes recently","low","none","Ophthalmology"
"vertigo with ear fullness for a week","medium","nausea hearing loss","ENT"
"toddler fever and rash for a few hours","medium","irritability","Pediatrics"
"sad mood and crying spells for a day","medium","fatigue","Psychiatry"
"constant stomach pain off and on for months","medium","nausea","Gastroenterology"
"a little itchy skin patch off and on for months","low","none","Dermatology"
"sore throat and difficulty swallowing for three days","medium","fever swollen glands","ENT"
"social anxiety fear of people recently","medium","avoidance","Psychiatry"
"baby feeding problems off and on for months","medium","fussy gassy","Pediatrics"
"tremor and loss of balance for two days","high","weakness","Neurology"
"toddler fever and rash since yesterday","medium","irritability","Pediatrics"
"severe dizziness with fainting for a few hours","high","nausea blurred vision","Neurology"
"minor sneezing and stuffy nose","low","none","General Physician"
"cold and runny nose recently","medium","sneezing sore throat","General Physician"
"sinus pressure behind eyes for several days","medium","headache nasal congestion","ENT"
"frozen shoulder restricted movement on and off for weeks","medium","stiffness pain","Orthopedics"
"cystic acne painful bumps for a few hours","medium","scarring","Dermatology"
"memory loss and confusion for ten days","medium","disorientation","Neurology"
"severe migraine with aura and vomiting","high","light sensitivity nausea","Neurology"
"pulled muscle in thigh for about a week","medium","swelling bruising","Orthopedics"
"sprained ankle swelling for a day","medium","limping","Orthopedics"
"suicidal thoughts and hopelessness for a day","high","insomnia appetite loss","Psychiatry"
"minor dizziness when standing up","low","none","Neurology"
"heart palpitations and racing heartbeat for a week","medium","anxiety sweating","Cardiology"
"a little sneezing and stuffy nose","low","none","General Physician"
"broken ankle after sports injury","high","swelling inability to walk","Orthopedics"
"chest pain when climbing stairs for a day","medium","breathlessness fatigue","Cardiology"
"vertigo with ear fullness for two weeks","medium","nausea hearing loss","ENT"
"minor numbness in fingertip since this morning","low","none","Neurology"
"fatigue and weakness for ten days","medium","loss of appetite","General Physician"
"stroke symptoms face drooping","high","slurred speech arm weakness","Neurology"
"sciatica shooting pain down leg for a month","medium","numbness tingling","Orthopedics"
"cardiac arrhythmia fluttering chest for two days","medium","lightheadedness","Cardiology"
